event,result,white_elo,black_elo,eco,event_type,rd_white,rd_black,flag_white,flag_black,play_time_white,play_time_black,rated,time,increment,rating_diff
Rated Rapid game,0-1,1844,1980,D44,rapid,45,,,,898098,,1,600,0,-136
Rated Rapid game,0-1,938,1058,A00,rapid,45,49,,,164868,239008,1,600,5,-120
Rated Rapid game,0-1,1480,1464,C58,rapid,,91,,,,545293,1,600,0,16
Rated Rapid game,0-1,1976,1976,B50,rapid,,,,,,,1,600,0,0
Rapid swiss,0-1,993,1523,C30,rapid,,55,,,,322259,0,900,0,-530
Rated Rapid game,0-1,2045,1929,B40,rapid,59,,RU,,7262563,,1,600,0,116
Rated Rapid game,0-1,1929,1959,D02,rapid,,,,,,,1,600,0,-30
Rated Rapid game,0-1,1619,1641,C00,rapid,106,,,,27657,,1,600,0,-22
Rated Rapid game,0-1,1284,1261,B12,rapid,86,,,,142987,,1,600,0,23
Rated Rapid game,0-1,899,916,C58,rapid,,,,,,,1,600,0,-17
Rated Rapid game,0-1,1331,1337,C41,rapid,45,50,,,4630728,1900494,1,600,0,-6
Rated Rapid game,0-1,1896,1977,D00,rapid,47,45,,DE,8018054,20759157,1,600,0,-81
Rated Rapid game,0-1,1568,1541,C40,rapid,46,45,,ZM,5839169,1995984,1,600,0,27
Rated Rapid game,0-1,866,902,C50,rapid,,45,,,,536053,1,600,0,-36
Rated Rapid game,0-1,1562,1575,B01,rapid,47,,,,319241,,1,600,0,-13
Rated Rapid game,0-1,1183,1174,B08,rapid,,,,,,,1,600,0,9
Rated Rapid game,0-1,1683,1711,B00,rapid,,,,,,,1,600,0,-28
Rated Rapid game,0-1,1668,1636,B00,rapid,,,,,,,1,600,0,32
Rated Rapid game,0-1,1105,1078,B01,rapid,,,,,,,1,600,0,27
Rated Rapid game,0-1,1936,1915,D02,rapid,45,48,,PL,13051026,8453267,1,600,0,21
Rated Rapid game,0-1,1871,1812,A40,rapid,62,,,,1652995,,1,600,0,59
Rated Rapid game,0-1,1396,1412,A40,rapid,45,53,,IN,1476356,705746,1,600,0,-16
Rated Rapid game,0-1,1999,2001,A13,rapid,,45,,,,13871757,1,600,0,-2
Rated Rapid tournament,0-1,2112,2116,A36,rapid,49,86,,,1349369,392603,1,600,0,-4
Rated Rapid game,0-1,1657,1665,C26,rapid,,64,,PL,,4667041,1,600,5,-8
Rated Rapid game,0-1,1582,1514,C25,rapid,45,,,,5748715,,1,600,0,68
Rated Rapid game,0-1,1283,1285,B50,rapid,,52,,,,1469014,1,600,0,-2
Rated Rapid game,0-1,1109,1164,B30,rapid,,,,,,,1,600,5,-55
Rated Rapid game,0-1,1493,1475,B01,rapid,,,,,,,1,600,0,18
Rated Rapid game,0-1,870,914,B00,rapid,45,106,,,1250282,68941,1,600,0,-44
Rated Rapid game,0-1,1902,2001,C25,rapid,,,,,,,1,600,0,-99
Rated Rapid game,0-1,1117,1152,B50,rapid,87,,,,338660,,1,600,0,-35
Rapid swiss,0-1,901,1500,A00,rapid,136,175,,,7188,5241,0,600,2,-599
Rated Rapid game,0-1,738,901,D02,rapid,45,,,,1181465,,1,600,0,-163
Rated Rapid game,0-1,1795,1714,D00,rapid,,,,,,,1,600,0,81
Rated Rapid game,0-1,1655,1657,B20,rapid,79,,,,1417945,,1,600,0,-2
Rated Rapid game,0-1,1209,1210,B00,rapid,,45,,,,6490419,1,600,0,-1
Rated Rapid tournament,0-1,2157,2101,C89,rapid,,,,,,,1,600,0,56
Rated Rapid game,0-1,1244,1253,B20,rapid,,,,,,,1,600,0,-9
Rated Rapid game,0-1,1264,1247,D02,rapid,50,,,,601289,,1,600,0,17
Rated Rapid game,0-1,1746,1778,A00,rapid,,116,,,,520908,1,600,0,-32
Rated Rapid game,0-1,812,796,D00,rapid,,,,,,,1,600,0,16
Rated Rapid tournament,0-1,1788,1792,B01,rapid,,85,,,,956846,1,600,0,-4
Rated Rapid game,0-1,1676,1648,D01,rapid,,45,,,,12409610,1,600,0,28
Rated Rapid game,0-1,1679,1774,B00,rapid,48,70,,,3407746,840311,1,600,0,-95
